first_name,last_name,team/city
Ike,Anigbogu,Indiana
Ron,Baker,New York
Jabari,Bird,Boston
MarShon,Brooks,Memphis
Lorenzo,Brown,Toronto
Omri,Casspi,Memphis
Alex,Abrines,Oklahoma City
Tyler,Davis,Oklahoma City
Keenan,Evans,Detroit
Marcin,Gortat,LA
Andrew,Bogut,Golden State
Amir,Johnson,Philadelphia
Malachi,Richardson,Utah
Zach,Lofton,Detroit
Kosta,Koufos,Sacramento
Billy,Preston,Cleveland
Zhou,Qi,Houston
Zach,Randolph,Sacramento
DJ,Stephens,Memphis
Milos,Teodosic,LA
Gary,Trent Jr.,Portland
Michael,Smith,Boston
John,Morton,Cleveland
Howard,Wright,Atlanta
Michael,Ansley,Orlando
