id,first_name,last_name,team/id,team/city,team/division,team/full_name
14,Ike,Anigbogu,12,Indiana,Central,Indiana Pacers
25,Ron,Baker,20,New York,Atlantic,New York Knicks
47,Jabari,Bird,2,Boston,Atlantic,Boston Celtics
67,MarShon,Brooks,15,Memphis,Southwest,Memphis Grizzlies
71,Lorenzo,Brown,28,Toronto,Atlantic,Toronto Raptors
90,Omri,Casspi,15,Memphis,Southwest,Memphis Grizzlies
1,Alex,Abrines,21,Oklahoma City,Northwest,Oklahoma City Thunder
119,Tyler,Davis,21,Oklahoma City,Northwest,Oklahoma City Thunder
149,Keenan,Evans,9,Detroit,Central,Detroit Pistons
179,Marcin,Gortat,13,LA,Pacific,LA Clippers
1593,Andrew,Bogut,10,Golden State,Pacific,Golden State Warriors
241,Amir,Johnson,23,Philadelphia,Atlantic,Philadelphia 76ers
392,Malachi,Richardson,29,Utah,Northwest,Utah Jazz
281,Zach,Lofton,9,Detroit,Central,Detroit Pistons
263,Kosta,Koufos,26,Sacramento,Pacific,Sacramento Kings
382,Billy,Preston,6,Cleveland,Central,Cleveland Cavaliers
384,Zhou,Qi,11,Houston,Southwest,Houston Rockets
388,Zach,Randolph,26,Sacramento,Pacific,Sacramento Kings
430,DJ,Stephens,15,Memphis,Southwest,Memphis Grizzlies
437,Milos,Teodosic,13,LA,Pacific,LA Clippers
448,Gary,Trent Jr.,25,Portland,Northwest,Portland Trail Blazers
494,Michael,Smith,2,Boston,Atlantic,Boston Celtics
495,John,Morton,6,Cleveland,Central,Cleveland Cavaliers
496,Howard,Wright,1,Atlanta,Southeast,Atlanta Hawks
497,Michael,Ansley,22,Orlando,Southeast,Orlando Magic
