id,team/id,team/city,team/division,team/full_name
14,12,Indiana,Central,Indiana Pacers
25,20,New York,Atlantic,New York Knicks
47,2,Boston,Atlantic,Boston Celtics
67,15,Memphis,Southwest,Memphis Grizzlies
71,28,Toronto,Atlantic,Toronto Raptors
90,15,Memphis,Southwest,Memphis Grizzlies
1,21,Oklahoma City,Northwest,Oklahoma City Thunder
119,21,Oklahoma City,Northwest,Oklahoma City Thunder
149,9,Detroit,Central,Detroit Pistons
179,13,LA,Pacific,LA Clippers
1593,10,Golden State,Pacific,Golden State Warriors
241,23,Philadelphia,Atlantic,Philadelphia 76ers
392,29,Utah,Northwest,Utah Jazz
281,9,Detroit,Central,Detroit Pistons
263,26,Sacramento,Pacific,Sacramento Kings
382,6,Cleveland,Central,Cleveland Cavaliers
384,11,Houston,Southwest,Houston Rockets
388,26,Sacramento,Pacific,Sacramento Kings
430,15,Memphis,Southwest,Memphis Grizzlies
437,13,LA,Pacific,LA Clippers
448,25,Portland,Northwest,Portland Trail Blazers
494,2,Boston,Atlantic,Boston Celtics
495,6,Cleveland,Central,Cleveland Cavaliers
496,1,Atlanta,Southeast,Atlanta Hawks
497,22,Orlando,Southeast,Orlando Magic
